story_id,R_score
45530,0.8282970764818138
45531,0.8518620268620269
45532,0.8282970764818138
45533,0.8518620268620269
45534,0.8282970764818138
45535,0.8287407569466948
45536,0.6891664073036623
45537,0.6891664073036623
45538,0.8287407569466948
45539,0.6891664073036623
45540,0.8796867076959746
45541,0.9152419722678343
45542,0.8796867076959746
45543,0.8796867076959746
45544,0.8796867076959746
45545,0.8037790364828408
45546,0.8679592304022945
45547,0.8037790364828408
45548,0.8037790364828408
45549,0.8037790364828408
45550,0.863859536128172
45551,0.8510774535134935
45552,0.8510774535134935
45553,0.863859536128172
45554,0.8510774535134935
45555,0.7941452062430323
45556,0.8262509173959806
45557,0.7941452062430323
45558,0.7941452062430323
45559,0.7941452062430323
45560,0.835451582329261
45561,0.8137900546691543
45562,0.835451582329261
45563,0.835451582329261
45564,0.835451582329261
45565,0.7079890082377036
45566,0.7055908850026498
45567,0.7079890082377036
45568,0.7079890082377036
45569,0.7079890082377036
45570,0.8693746688094515
45571,0.7779569003527337
45572,0.8693746688094515
45573,0.8693746688094515
45574,0.8693746688094515
45575,0.6977437612674682
45576,0.8689258370064822
45577,0.6977437612674682
45578,0.6977437612674682
45579,0.6977437612674682
45580,0.8319167708796191
45581,0.7851381519524993
45582,0.8319167708796191
45583,0.8319167708796191
45584,0.8319167708796191
45585,0.8296745508548247
45586,0.7740562999659042
45587,0.8296745508548247
45588,0.8296745508548247
45589,0.7740562999659042
45590,0.7322467451131244
45591,0.8183228291316527
45592,0.7322467451131244
45593,0.7322467451131244
45594,0.7322467451131244
45595,0.6666769227922144
45596,0.7495831685798791
45597,0.6666769227922144
45598,0.6666769227922144
45599,0.6666769227922144
45600,0.8537077749131321
45601,0.8407525565230641
45602,0.8537077749131321
45603,0.8537077749131321
45604,0.8537077749131321
45605,0.8466142135944096
45606,0.8316709572223402
45607,0.8466142135944096
45608,0.8466142135944096
45609,0.8466142135944096
45610,0.822934446366495
45611,0.855176899173006
45612,0.855176899173006
45613,0.855176899173006
45614,0.822934446366495
45615,0.8074457976038436
45616,0.8583575749193598
45617,0.8074457976038436
45618,0.8074457976038436
45619,0.8583575749193598
45620,0.8048339625503474
45621,0.770403176745282
45622,0.770403176745282
45623,0.8048339625503474
45624,0.8048339625503474
45625,0.7458694926722355
45626,0.8533623978265141
45627,0.7458694926722355
45628,0.7458694926722355
45629,0.7458694926722355
45630,0.7350521314434357
45631,0.784387365922622
45632,0.784387365922622
