story_id,C_score
45530,0.8033112287521362
45531,0.9997884035110474
45532,0.8033112287521362
45533,0.9997884035110474
45534,0.8033112287521362
45535,0.9997510790824891
45536,0.9988758265972137
45537,0.9988758265972137
45538,0.9997510790824891
45539,0.9988758265972137
45540,0.9998067915439606
45541,0.9998151659965515
45542,0.9998067915439606
45543,0.9998067915439606
45544,0.9998067915439606
45545,0.9959723949432373
45546,0.6866639281312624
45547,0.9959723949432373
45548,0.9959723949432373
45549,0.9959723949432373
45550,0.9993687272071838
45551,0.9976749867200851
45552,0.9976749867200851
45553,0.9993687272071838
45554,0.9976749867200851
45555,0.9918491393327713
45556,0.9985664188861847
45557,0.9918491393327713
45558,0.9918491393327713
45559,0.9918491393327713
45560,0.9996603578329086
45561,0.9958832164605459
45562,0.9996603578329086
45563,0.9996603578329086
45564,0.9996603578329086
45565,0.999764159321785
45566,0.9997097551822662
45567,0.999764159321785
45568,0.999764159321785
45569,0.999764159321785
45570,0.8377602994441986
45571,0.9998015364011129
45572,0.8377602994441986
45573,0.8377602994441986
45574,0.8377602994441986
45575,0.999793753027916
45576,0.9986447334289551
45577,0.999793753027916
45578,0.999793753027916
45579,0.999793753027916
45580,0.9997059226036071
45581,0.9995532929897308
45582,0.9997059226036071
45583,0.9997059226036071
45584,0.9997059226036071
45585,0.9997569620609283
45586,0.9986662864685059
45587,0.9997569620609283
45588,0.9997569620609283
45589,0.9986662864685059
45590,0.9960674047470093
45591,0.9994892676671346
45592,0.9960674047470093
45593,0.9960674047470093
45594,0.9960674047470093
45595,0.999379825592041
45596,0.9997711380322775
45597,0.999379825592041
45598,0.999379825592041
45599,0.999379825592041
45600,0.999727745850881
45601,0.9987679123878479
45602,0.999727745850881
45603,0.999727745850881
45604,0.999727745850881
45605,0.9952753186225891
45606,0.9979313164949417
45607,0.9952753186225891
45608,0.9952753186225891
45609,0.9952753186225891
45610,0.9988343119621277
45611,0.9973646551370621
45612,0.9973646551370621
45613,0.9973646551370621
45614,0.9988343119621277
45615,0.9977781375249227
45616,0.9822842627763748
45617,0.9977781375249227
45618,0.9977781375249227
45619,0.9822842627763748
45620,0.9995270570119222
45621,0.9985789954662323
45622,0.9985789954662323
45623,0.9995270570119222
45624,0.9995270570119222
45625,0.999766394495964
45626,0.998467743396759
45627,0.999766394495964
45628,0.999766394495964
45629,0.999766394495964
45630,0.9993870258331299
45631,0.9898931831121445
45632,0.9898931831121445
45633,0.9898931831121445
45634,0.9898931831121445
45635,0.9983299225568771
45636,0.9997592568397522
